lat,long,City,Country,Temp,Humidity,Cloudiness,Wind_Speed
6.1241,81.1185,hambantota,lk,78.8,89.0,18.0,11.5
-33.918,25.5701,port elizabeth,za,64.4,82.0,92.5,10.36
-33.65,115.3333,busselton,au,80.01,45.0,37.0,4.43
-33.6971,-53.4616,chuy,uy,71.29,96.0,5.0,6.04
37.5683,126.9778,seoul,kr,50.0,53.0,5.0,8.05
66.9395,-53.6735,sisimiut,gl,12.94,85.0,5.0,4.68
-3.8004,102.2655,bengkulu,id,84.45,63.0,67.5,5.82
63.1906,64.4162,igrim,ru,-20.18,87.0,92.5,6.55
-33.0153,27.9116,east london,za,62.6,94.0,92.5,3.44
14.8961,-24.4956,sao filipe,cv,71.37,67.0,5.0,5.84
8.0086,-62.3989,upata,ve,69.98,88.0,92.5,4.92
-15.1961,12.1522,namibe,ao,74.25,76.0,67.5,3.89
72.7868,-56.1549,upernavik,gl,12.88,92.0,18.0,14.09
57.6705,63.071,irbit,ru,-4.95,91.0,92.5,2.71
47.6666,-52.7314,torbay,ca,23.86,86.0,37.0,14.97
17.1994,-25.0919,ponta do sol,cv,68.0,83.0,18.0,16.11
39.5108,54.3671,balkanabat,tm,35.91,69.0,5.0,7.23
62.456,-114.3525,yellowknife,ca,-18.13,76.0,67.5,10.36
-33.5906,26.891,port alfred,za,63.0,92.0,67.5,16.84
-22.116,14.2845,henties bay,na,70.0,90.0,92.5,7.72
-31.775,-70.9722,salamanca,cl,64.78,62.0,18.0,0.94
49.5,-56.0649,springdale,ca,19.0,85.0,92.5,10.69
39.0062,-77.4286,sterling,us,32.72,60.0,92.5,2.08
18.2,-73.75,les cayes,ht,73.94,84.0,37.0,4.03
-34.5322,20.0403,bredasdorp,za,64.4,72.0,37.0,12.66
-9.8,-139.0333,atuona,pf,78.57,75.0,5.0,13.76
2.0371,45.3438,mogadishu,so,74.57,80.0,5.0,18.5
39.7432,98.5174,jiuquan,cn,21.49,86.0,5.0,3.15
25.5833,-99.9833,cadereyta,mx,71.35,68.0,37.0,8.05
-22.9661,-42.0278,arraial do cabo,br,75.15,85.0,67.5,19.64
-26.3667,-70.05,diego de almagro,cl,58.95,42.0,5.0,0.6
69.2167,-51.1,ilulissat,gl,12.2,44.0,5.0,5.75
-46.6,168.3333,bluff,nz,59.0,87.0,92.5,20.0
-23.7,133.8833,alice springs,au,96.8,32.0,5.0,17.27
71.9667,102.5,khatanga,ru,-18.6,88.0,92.5,10.27
33.6103,-114.5964,blythe,us,50.99,66.0,5.0,8.05
-53.15,-70.9167,punta arenas,cl,44.29,70.0,5.0,20.71
30.1595,-85.6598,panama city,us,60.48,88.0,92.5,6.91
57.79,-152.4072,kodiak,us,35.6,48.0,5.0,6.91
64.2833,100.25,tura,ru,-41.15,80.0,92.5,0.45
68.75,161.3,cherskiy,ru,-24.93,86.0,92.5,5.79
-26.5833,148.7833,roma,au,87.58,32.0,5.0,9.64
-23.1203,-134.9692,rikitea,pf,80.33,71.0,37.0,9.15
-12.9319,45.1483,chirongui,yt,77.0,88.0,5.0,2.3
22.8909,-109.9124,cabo san lucas,mx,63.43,72.0,37.0,9.22
-3.1374,142.3475,aitape,pg,86.94,61.0,37.0,5.86
14.905,-12.4568,bakel,sn,70.0,17.0,5.0,11.74
-17.9333,19.7667,rundu,na,64.42,93.0,5.0,5.48
34.6391,-120.4579,lompoc,us,46.92,81.0,92.5,6.91
-33.9258,18.4232,cape town,za,62.35,72.0,5.0,8.05
60.3778,92.6267,teya,ru,-28.71,81.0,92.5,2.8
7.0419,134.2556,kloulklubed,pw,86.0,66.0,67.5,9.22
-7.9333,-14.4167,georgetown,sh,75.31,78.0,92.5,12.15
27.9769,-114.0611,guerrero negro,mx,57.72,63.0,5.0,14.09
65.6145,-37.6368,tasiilaq,gl,15.8,67.0,92.5,24.16
41.1231,80.2644,aksu,cn,19.44,85.0,5.0,2.21
51.1678,52.995,aksay,kz,20.05,97.0,67.5,9.69
-3.7703,-70.3831,puerto narino,co,77.0,100.0,18.0,0.6
70.6333,147.9167,chokurdakh,ru,-33.27,82.0,92.5,11.86
-42.8794,147.3294,hobart,au,83.44,47.0,5.0,18.41
-13.2,49.05,ambilobe,mg,72.72,93.0,37.0,2.13
-30.1811,-50.2056,cidreira,br,75.34,85.0,67.5,14.97
0.9161,31.7742,kiboga,ug,64.8,69.0,92.5,1.74
63.05,179.3167,beringovskiy,ru,0.07,92.0,92.5,17.18
73.5069,80.5464,dikson,ru,-17.59,88.0,92.5,13.09
-37.6167,-73.65,lebu,cl,55.42,77.0,5.0,17.76
-38.0023,-57.5575,mar del plata,ar,72.68,94.0,18.0,11.5
64.5011,-165.4064,nome,us,14.0,79.0,92.5,5.75
-33.0117,17.9442,saldanha,za,59.0,72.0,5.0,3.44
47.9987,14.4035,garsten,at,28.8,80.0,18.0,2.3
4.9247,6.2642,yenagoa,ng,75.69,88.0,18.0,2.19
20.5169,-13.0499,atar,mr,65.14,21.0,37.0,7.63
-13.7,-76.2167,pisco,pe,69.89,78.0,5.0,16.11
-24.9333,-55.2167,itaquyry,py,73.4,94.0,67.5,4.61
13.5928,-89.8275,acajutla,sv,78.12,78.0,5.0,8.41
35.7333,140.8333,hasaki,jp,53.74,50.0,37.0,12.66
42.8816,47.6392,kaspiysk,ru,32.0,86.0,18.0,6.71
-20.7333,139.5,mount isa,au,96.8,26.0,67.5,8.05
-20.9169,167.2646,we,nc,80.31,75.0,92.5,18.1
19.1059,37.3321,sawakin,sd,74.44,82.0,92.5,7.61
45.4833,27.75,independenta,ro,43.47,87.0,92.5,12.64
9.3086,15.8066,kelo,td,66.29,26.0,37.0,5.68
