lat,long,City,Country,Temp,Humidity,Cloudiness,Wind_Speed
6.1241,81.1185,hambantota,lk,78.8,89.0,18.0,11.5
37.5683,126.9778,seoul,kr,50.0,53.0,5.0,8.05
66.9395,-53.6735,sisimiut,gl,12.94,85.0,5.0,4.68
63.1906,64.4162,igrim,ru,-20.18,87.0,92.5,6.55
14.8961,-24.4956,sao filipe,cv,71.37,67.0,5.0,5.84
8.0086,-62.3989,upata,ve,69.98,88.0,92.5,4.92
72.7868,-56.1549,upernavik,gl,12.88,92.0,18.0,14.09
57.6705,63.071,irbit,ru,-4.95,91.0,92.5,2.71
47.6666,-52.7314,torbay,ca,23.86,86.0,37.0,14.97
17.1994,-25.0919,ponta do sol,cv,68.0,83.0,18.0,16.11
39.5108,54.3671,balkanabat,tm,35.91,69.0,5.0,7.23
62.456,-114.3525,yellowknife,ca,-18.13,76.0,67.5,10.36
49.5,-56.0649,springdale,ca,19.0,85.0,92.5,10.69
39.0062,-77.4286,sterling,us,32.72,60.0,92.5,2.08
18.2,-73.75,les cayes,ht,73.94,84.0,37.0,4.03
2.0371,45.3438,mogadishu,so,74.57,80.0,5.0,18.5
39.7432,98.5174,jiuquan,cn,21.49,86.0,5.0,3.15
25.5833,-99.9833,cadereyta,mx,71.35,68.0,37.0,8.05
69.2167,-51.1,ilulissat,gl,12.2,44.0,5.0,5.75
71.9667,102.5,khatanga,ru,-18.6,88.0,92.5,10.27
33.6103,-114.5964,blythe,us,50.99,66.0,5.0,8.05
30.1595,-85.6598,panama city,us,60.48,88.0,92.5,6.91
57.79,-152.4072,kodiak,us,35.6,48.0,5.0,6.91
64.2833,100.25,tura,ru,-41.15,80.0,92.5,0.45
68.75,161.3,cherskiy,ru,-24.93,86.0,92.5,5.79
22.8909,-109.9124,cabo san lucas,mx,63.43,72.0,37.0,9.22
14.905,-12.4568,bakel,sn,70.0,17.0,5.0,11.74
34.6391,-120.4579,lompoc,us,46.92,81.0,92.5,6.91
60.3778,92.6267,teya,ru,-28.71,81.0,92.5,2.8
7.0419,134.2556,kloulklubed,pw,86.0,66.0,67.5,9.22
27.9769,-114.0611,guerrero negro,mx,57.72,63.0,5.0,14.09
65.6145,-37.6368,tasiilaq,gl,15.8,67.0,92.5,24.16
41.1231,80.2644,aksu,cn,19.44,85.0,5.0,2.21
51.1678,52.995,aksay,kz,20.05,97.0,67.5,9.69
70.6333,147.9167,chokurdakh,ru,-33.27,82.0,92.5,11.86
0.9161,31.7742,kiboga,ug,64.8,69.0,92.5,1.74
63.05,179.3167,beringovskiy,ru,0.07,92.0,92.5,17.18
73.5069,80.5464,dikson,ru,-17.59,88.0,92.5,13.09
64.5011,-165.4064,nome,us,14.0,79.0,92.5,5.75
47.9987,14.4035,garsten,at,28.8,80.0,18.0,2.3
4.9247,6.2642,yenagoa,ng,75.69,88.0,18.0,2.19
20.5169,-13.0499,atar,mr,65.14,21.0,37.0,7.63
13.5928,-89.8275,acajutla,sv,78.12,78.0,5.0,8.41
35.7333,140.8333,hasaki,jp,53.74,50.0,37.0,12.66
42.8816,47.6392,kaspiysk,ru,32.0,86.0,18.0,6.71
19.1059,37.3321,sawakin,sd,74.44,82.0,92.5,7.61
45.4833,27.75,independenta,ro,43.47,87.0,92.5,12.64
9.3086,15.8066,kelo,td,66.29,26.0,37.0,5.68
47.8059,38.0211,novyy svit,ua,32.97,93.0,92.5,11.25
50.7214,136.6319,solnechnyy,ru,0.59,81.0,5.0,2.48
45.6169,-61.3485,port hawkesbury,ca,25.21,74.0,92.5,11.5
66.8333,70.8333,yar-sale,ru,-31.31,80.0,92.5,12.77
46.4856,135.8833,vostok,ru,17.35,88.0,5.0,2.24
53.6667,124.8,taldan,ru,-11.38,81.0,92.5,3.96
45.0503,136.6092,terney,ru,28.83,84.0,5.0,3.49
77.484,-69.3632,qaanaaq,gl,8.42,77.0,5.0,4.81
32.767,22.6367,darnah,ly,57.07,58.0,67.5,18.72
23.0,-102.1667,dulce grande,mx,56.75,36.0,67.5,11.74
56.55,38.0333,konstantinovo,ru,35.58,87.0,92.5,14.52
38.7992,-9.4469,colares,pt,58.37,100.0,92.5,19.19
45.0917,133.5136,kirovskiy,ru,12.83,92.0,5.0,3.15
37.1041,-113.5841,saint george,us,41.99,52.0,67.5,3.27
10.2605,-85.5851,santa cruz,cr,80.6,57.0,5.0,21.85
3.0707,172.7902,butaritari,ki,79.38,73.0,5.0,5.21
55.9711,37.9208,ivanteyevka,ru,36.34,75.0,5.0,8.95
42.7762,-9.0603,muros,es,57.0,94.0,92.5,5.01
3.4568,8.5547,luba,gq,75.2,79.0,18.0,3.44
78.2186,15.6401,longyearbyen,sj,17.6,62.0,5.0,17.27
41.8825,16.175,vieste,it,39.2,81.0,18.0,5.75
4.8,119.85,manuk mangkaw,ph,82.56,76.0,67.5,13.24
61.1333,74.8167,lokosovo,ru,-36.13,81.0,92.5,7.45
29.9576,122.298,shenjiamen,cn,52.38,81.0,67.5,7.16
15.3953,-15.1193,linguere,sn,64.4,24.0,5.0,6.91
69.4865,88.3972,talnakh,ru,-33.43,79.0,92.5,4.88
27.9167,96.1667,tezu,in,72.14,31.0,18.0,3.22
21.1167,70.1167,mangrol,in,66.58,27.0,5.0,9.86
12.35,32.1833,marabba,sd,68.54,32.0,67.5,9.17
48.6499,-53.1147,bonavista,ca,19.98,86.0,37.0,9.22
14.66,120.5653,pilar,ph,85.14,66.0,18.0,12.66
25.0213,37.2685,umm lajj,sa,69.85,52.0,5.0,9.55
2.0167,112.9333,kapit,my,89.01,61.0,92.5,1.41
66.5606,67.7975,aksarka,ru,-24.09,86.0,92.5,9.22
43.8335,-66.1156,yarmouth,ca,28.72,86.0,92.5,17.27
65.7,82.4667,krasnoselkup,ru,-43.78,76.0,5.0,1.52
54.7169,-113.2854,athabasca,ca,-7.6,71.0,92.5,6.91
51.65,-103.5343,foam lake,ca,-25.6,75.0,5.0,2.3
39.9803,41.6764,pasinler,tr,3.2,85.0,37.0,3.44
6.3005,-10.7969,monrovia,lr,76.59,87.0,5.0,3.8
53.33,6.5208,winsum,nl,29.34,92.0,92.5,6.26
0.5738,12.8642,makokou,ga,68.83,97.0,92.5,1.99
4.1363,96.1285,meulaboh,id,85.14,65.0,92.5,2.1
41.4901,-71.3128,newport,us,23.9,39.0,5.0,16.11
32.2915,-64.778,hamilton,bm,58.96,67.0,67.5,25.32
25.0,72.25,bhinmal,in,62.29,28.0,5.0,12.71
5.9667,80.4167,weligama,lk,76.98,78.0,67.5,5.57
71.6872,128.8694,tiksi,ru,-46.35,78.0,67.5,9.08
34.1667,77.5833,leh,in,8.13,73.0,67.5,1.77
50.6996,-127.4199,port hardy,ca,36.59,93.0,67.5,8.05
60.05,69.9,gornopravdinsk,ru,-19.12,87.0,92.5,6.85
66.0833,76.6333,novyy urengoy,ru,-40.52,78.0,5.0,8.52
51.1537,37.8879,novikovo,ru,31.66,97.0,92.5,13.58
66.3167,-179.1667,egvekinot,ru,-4.2,85.0,5.0,10.47
61.4781,129.1272,pokrovsk,ru,-44.32,76.0,67.5,0.36
