lat,long,City,Country,Temp,Humidity,Cloudiness,Wind_Speed
-33.918,25.5701,port elizabeth,za,64.4,82.0,92.5,10.36
-33.65,115.3333,busselton,au,80.01,45.0,37.0,4.43
-33.6971,-53.4616,chuy,uy,71.29,96.0,5.0,6.04
-3.8004,102.2655,bengkulu,id,84.45,63.0,67.5,5.82
-33.0153,27.9116,east london,za,62.6,94.0,92.5,3.44
-15.1961,12.1522,namibe,ao,74.25,76.0,67.5,3.89
-33.5906,26.891,port alfred,za,63.0,92.0,67.5,16.84
-22.116,14.2845,henties bay,na,70.0,90.0,92.5,7.72
-31.775,-70.9722,salamanca,cl,64.78,62.0,18.0,0.94
-34.5322,20.0403,bredasdorp,za,64.4,72.0,37.0,12.66
-9.8,-139.0333,atuona,pf,78.57,75.0,5.0,13.76
-22.9661,-42.0278,arraial do cabo,br,75.15,85.0,67.5,19.64
-26.3667,-70.05,diego de almagro,cl,58.95,42.0,5.0,0.6
-46.6,168.3333,bluff,nz,59.0,87.0,92.5,20.0
-23.7,133.8833,alice springs,au,96.8,32.0,5.0,17.27
-53.15,-70.9167,punta arenas,cl,44.29,70.0,5.0,20.71
-26.5833,148.7833,roma,au,87.58,32.0,5.0,9.64
-23.1203,-134.9692,rikitea,pf,80.33,71.0,37.0,9.15
-12.9319,45.1483,chirongui,yt,77.0,88.0,5.0,2.3
-3.1374,142.3475,aitape,pg,86.94,61.0,37.0,5.86
-17.9333,19.7667,rundu,na,64.42,93.0,5.0,5.48
-33.9258,18.4232,cape town,za,62.35,72.0,5.0,8.05
-7.9333,-14.4167,georgetown,sh,75.31,78.0,92.5,12.15
-3.7703,-70.3831,puerto narino,co,77.0,100.0,18.0,0.6
-42.8794,147.3294,hobart,au,83.44,47.0,5.0,18.41
-13.2,49.05,ambilobe,mg,72.72,93.0,37.0,2.13
-30.1811,-50.2056,cidreira,br,75.34,85.0,67.5,14.97
-37.6167,-73.65,lebu,cl,55.42,77.0,5.0,17.76
-38.0023,-57.5575,mar del plata,ar,72.68,94.0,18.0,11.5
-33.0117,17.9442,saldanha,za,59.0,72.0,5.0,3.44
-13.7,-76.2167,pisco,pe,69.89,78.0,5.0,16.11
-24.9333,-55.2167,itaquyry,py,73.4,94.0,67.5,4.61
-20.7333,139.5,mount isa,au,96.8,26.0,67.5,8.05
-20.9169,167.2646,we,nc,80.31,75.0,92.5,18.1
-11.0964,-77.6139,hualmay,pe,70.88,81.0,92.5,4.03
-35.0169,117.8917,albany,au,66.2,72.0,92.5,11.5
-16.4833,-151.75,faanui,pf,81.66,73.0,5.0,13.6
-41.8697,-73.8203,ancud,cl,53.29,82.0,18.0,2.3
-8.13,112.219,kanigoro,id,85.3,58.0,92.5,4.34
-5.5183,-47.4611,sitio novo do tocantins,br,74.89,88.0,92.5,1.59
-20.3167,118.5667,port hedland,au,100.4,16.0,37.0,12.66
-36.2333,149.1333,cooma,au,91.4,21.0,37.0,14.97
-4.085,-63.1414,coari,br,74.97,95.0,92.5,1.7
-35.1667,173.1667,ahipara,nz,72.18,75.0,18.0,10.33
-20.2333,164.0167,poum,nc,80.35,76.0,92.5,15.3
-42.7826,147.0587,new norfolk,au,84.85,19.0,92.5,10.0
-20.1833,25.2333,gweta,bw,72.32,70.0,92.5,7.27
-11.7358,24.4293,mwinilunga,zm,61.41,96.0,92.5,4.5
-0.8667,134.0833,manokwari,id,83.17,73.0,92.5,9.64
-32.9272,151.7765,newcastle,au,92.89,29.0,5.0,11.5
-10.4544,161.9205,kirakira,sb,85.06,68.0,67.5,11.61
-26.6481,15.1594,luderitz,na,67.53,59.0,92.5,17.54
-20.4597,-66.825,uyuni,bo,51.98,64.0,67.5,3.24
-3.1333,33.5333,malampaka,tz,62.98,86.0,92.5,4.07
-29.9533,-71.3436,coquimbo,cl,62.6,88.0,5.0,6.91
